,counts
2020-01-22,2
2020-01-23,2
2020-01-24,2
2020-01-25,2
2020-01-26,4
2020-01-27,4
2020-01-28,7
2020-01-29,7
2020-01-30,11
2020-01-31,15
2020-02-01,20
2020-02-02,20
2020-02-03,20
2020-02-04,22
2020-02-05,23
2020-02-06,23
2020-02-07,23
2020-02-08,24
2020-02-09,24
2020-02-10,26
2020-02-11,27
2020-02-12,28
2020-02-13,33
2020-02-14,43
2020-02-15,54
2020-02-16,60
2020-02-17,67
2020-02-18,79
2020-02-19,85
2020-02-20,95
2020-02-21,112
2020-02-22,137
2020-02-23,149
2020-02-24,160
2020-02-25,173
2020-02-26,192
2020-02-27,218
2020-02-28,236
2020-02-29,245
2020-03-01,259
2020-03-02,278
2020-03-03,298
2020-03-04,333
2020-03-05,365
2020-03-06,420
2020-03-07,466
2020-03-08,499
2020-03-09,527
2020-03-10,585
2020-03-11,640
2020-03-12,696
2020-03-13,733
2020-03-14,795
2020-03-15,826
2020-03-16,843
2020-03-17,893
2020-03-18,928
2020-03-19,968
2020-03-20,1022
2020-03-21,1059
2020-03-22,1104
2020-03-23,1144
2020-03-24,1217
2020-03-25,1314
2020-03-26,1416
2020-03-27,1530
2020-03-28,1728
2020-03-29,1907
2020-03-30,2001
2020-03-31,2255
2020-04-01,2535
2020-04-02,2818
2020-04-03,3154
2020-04-04,3525
2020-04-05,3876
2020-04-06,4110
2020-04-07,4485
2020-04-08,5020
2020-04-09,5614
2020-04-10,6250
2020-04-11,6951
2020-04-12,7473
2020-04-13,7773
2020-04-14,8277
2020-04-15,8835
2020-04-16,9398
2020-04-17,9958
2020-04-18,10548
2020-04-19,10914
2020-04-20,11258
2020-04-21,11641
2020-04-22,12037
2020-04-23,12469
2020-04-24,12854
2020-04-25,13186
2020-04-26,13405
2020-04-27,13576
2020-04-28,13860
2020-04-29,14076
2020-04-30,14284
2020-05-01,14558
2020-05-02,14861
2020-05-03,15061
2020-05-04,15229
2020-05-05,15354
2020-05-06,15455
2020-05-07,15553
2020-05-08,15640
2020-05-09,15755
2020-05-10,15824
2020-05-11,15861
2020-05-12,15948
2020-05-13,15998
2020-05-14,16096
2020-05-15,16148
2020-05-16,16202
2020-05-17,16226
2020-05-18,16259
2020-05-19,16287
2020-05-20,16321
2020-05-21,16362
2020-05-22,16385
2020-05-23,16410
2020-05-24,16451
2020-05-25,16472
2020-05-26,16502
2020-05-27,16528
2020-05-28,16598
2020-05-29,16673
2020-05-30,16716
2020-05-31,16751
2020-06-01,16787
2020-06-02,16837
2020-06-03,16867
2020-06-04,16911
2020-06-05,16958
2020-06-06,17000
2020-06-07,17039
2020-06-08,17060
2020-06-09,17111
2020-06-10,17146
2020-06-11,17187
2020-06-12,17250
2020-06-13,17293
2020-06-14,17369
2020-06-15,17439
2020-06-16,17484
2020-06-17,17530
2020-06-18,17588
2020-06-19,17658
2020-06-20,17725
2020-06-21,17780
2020-06-22,17820
2020-06-23,17879
2020-06-24,17963
2020-06-25,18055
2020-06-26,18162
2020-06-27,18254
2020-06-28,18366
2020-06-29,18476
2020-06-30,18615
2020-07-01,18838
2020-07-02,19055
2020-07-03,19185
2020-07-04,19461
2020-07-05,19668
2020-07-06,19848
2020-07-07,20055
2020-07-08,20261
2020-07-09,20617
2020-07-10,21044
2020-07-11,21430
2020-07-12,21841
2020-07-13,22125
2020-07-14,22437
2020-07-15,23172
2020-07-16,23510
2020-07-17,24104
2020-07-18,24946
2020-07-19,25446
2020-07-20,25706
2020-07-21,26463
2020-07-22,27136
2020-07-23,28114
2020-07-24,28883
2020-07-25,29684
2020-07-26,30548
2020-07-27,31142
2020-07-28,32116
2020-07-29,33382
2020-07-30,35144
2020-07-31,36234
2020-08-01,37804
2020-08-02,39116
2020-08-03,40099
2020-08-04,41347
2020-08-05,42686
2020-08-06,44167
2020-08-07,45764
2020-08-08,47342
2020-08-09,48782
2020-08-10,49617
2020-08-11,50302
2020-08-12,51288
2020-08-13,52471
2020-08-14,53818
2020-08-15,55051
2020-08-16,56074
2020-08-17,56717
2020-08-18,57636
2020-08-19,58728
2020-08-20,59900
2020-08-21,60949
2020-08-22,61916
2020-08-23,62658
2020-08-24,63158
2020-08-25,63888
2020-08-26,64779
2020-08-27,65653
2020-08-28,66499
2020-08-29,67353
2020-08-30,67958
2020-08-31,68396
2020-09-01,69023
2020-09-02,69619
2020-09-03,70278
2020-09-04,70866
2020-09-05,71467
2020-09-06,71918
2020-09-07,72213
2020-09-08,72724
2020-09-09,73264
2020-09-10,73916
2020-09-11,74558
2020-09-12,75206
2020-09-13,75646
2020-09-14,75914
2020-09-15,76446
2020-09-16,76997
2020-09-17,77488
2020-09-18,78061
2020-09-19,78662
2020-09-20,79142
2020-09-21,79462
2020-09-22,79773
2020-09-23,80009
2020-09-24,80490
2020-09-25,81054
2020-09-26,81703
2020-09-27,82186
2020-09-28,82484
2020-09-29,83022
2020-09-30,83591
2020-10-01,84244
2020-10-02,84768
2020-10-03,85345
2020-10-04,85746
2020-10-05,86027
2020-10-06,86540
2020-10-07,87039
2020-10-08,87679
2020-10-09,88267
2020-10-10,88962
2020-10-11,89400
2020-10-12,89652
2020-10-13,90153
2020-10-14,90694
2020-10-15,91402
2020-10-16,92044
2020-10-17,92670
2020-10-18,93098
2020-10-19,93408
2020-10-20,93895
2020-10-21,94515
2020-10-22,95134
2020-10-23,95868
2020-10-24,96599
2020-10-25,97095
2020-10-26,97503
2020-10-27,98146
2020-10-28,98877
2020-10-29,99674
2020-10-30,100450
2020-10-31,101327
2020-11-01,101943
2020-11-02,102431
2020-11-03,103309
2020-11-04,103928
2020-11-05,104964
2020-11-06,106136
2020-11-07,107439
2020-11-08,108394
2020-11-09,109191
2020-11-10,110487
2020-11-11,112011
2020-11-12,113655
2020-11-13,115360
2020-11-14,117113
2020-11-15,118611
2020-11-16,119557
2020-11-17,121247
2020-11-18,123477
2020-11-19,125859
2020-11-20,128285
2020-11-21,130871
2020-11-22,133034
2020-11-23,134554
2020-11-24,135786
2020-11-25,137735
2020-11-26,140225
2020-11-27,142778
2020-11-28,145457
2020-11-29,147515
2020-11-30,148962
2020-12-01,150976
2020-12-02,153432
2020-12-03,155938
2020-12-04,158387
2020-12-05,160870
2020-12-06,162917
2020-12-07,164434
2020-12-08,166592
2020-12-09,169429
2020-12-10,172406
2020-12-11,175310
2020-12-12,178272
2020-12-13,180639
2020-12-14,182311
2020-12-15,184752
2020-12-16,187751
2020-12-17,190950
2020-12-18,193753
2020-12-19,196815
2020-12-20,199270
2020-12-21,201074
2020-12-22,203732
2020-12-23,207007
2020-12-24,210769
2020-12-25,214575
2020-12-26,218467
2020-12-27,221412
2020-12-28,223786
2020-12-29,227415
2020-12-30,231271
2020-12-31,235811
2021-01-01,239068
2021-01-02,242097
2021-01-03,245293
2021-01-04,248625
2021-01-05,253571
2021-01-06,259521
2021-01-07,267084
2021-01-08,274947
2021-01-09,282737
2021-01-10,288818
2021-01-11,293746
2021-01-12,298321
2021-01-13,304140
2021-01-14,310734
2021-01-15,317871
2021-01-16,324942
2021-01-17,330715
2021-01-18,335605
2021-01-19,340989
2021-01-20,346508
2021-01-21,352129
2021-01-22,357174
2021-01-23,361928
2021-01-24,365899
2021-01-25,368684
2021-01-26,372545
2021-01-27,376482
2021-01-28,380644
2021-01-29,384180
2021-01-30,387499
2021-01-31,390166
2021-02-01,391956
2021-02-02,394269
2021-02-03,396900
2021-02-04,399492
2021-02-05,401858
2021-02-06,404128
2021-02-07,405765
2021-02-08,406992
2021-02-09,408550
2021-02-10,410434
2021-02-11,412125
2021-02-12,413441
2021-02-13,414803
2021-02-14,416154
