,counts
2020-01-22,1
2020-01-23,1
2020-01-24,2
2020-01-25,2
2020-01-26,5
2020-01-27,5
2020-01-28,5
2020-01-29,6
2020-01-30,6
2020-01-31,8
2020-02-01,8
2020-02-02,8
2020-02-03,11
2020-02-04,11
2020-02-05,11
2020-02-06,12
2020-02-07,12
2020-02-08,12
2020-02-09,12
2020-02-10,12
2020-02-11,13
2020-02-12,13
2020-02-13,14
2020-02-14,14
2020-02-15,14
2020-02-16,14
2020-02-17,14
2020-02-18,14
2020-02-19,14
2020-02-20,14
2020-02-21,16
2020-02-22,16
2020-02-23,16
2020-02-24,16
2020-02-25,16
2020-02-26,16
2020-02-27,17
2020-02-28,17
2020-02-29,25
2020-03-01,32
2020-03-02,55
2020-03-03,74
2020-03-04,107
2020-03-05,184
2020-03-06,237
2020-03-07,403
2020-03-08,519
2020-03-09,594
2020-03-10,782
2020-03-11,1147
2020-03-12,1586
2020-03-13,2219
2020-03-14,2978
2020-03-15,3212
2020-03-16,4679
2020-03-17,6512
2020-03-18,9169
2020-03-19,13663
2020-03-20,20030
2020-03-21,26025
2020-03-22,34898
2020-03-23,46136
2020-03-24,56755
2020-03-25,68837
2020-03-26,86693
2020-03-27,105383
2020-03-28,125013
2020-03-29,143912
2020-03-30,165987
2020-03-31,192301
2020-04-01,224544
2020-04-02,256779
2020-04-03,289066
2020-04-04,321482
2020-04-05,351359
2020-04-06,382740
2020-04-07,413507
2020-04-08,444699
2020-04-09,480640
2020-04-10,515055
2020-04-11,544185
2020-04-12,571440
2020-04-13,598370
2020-04-14,627151
2020-04-15,652591
2020-04-16,682626
2020-04-17,715656
2020-04-18,743588
2020-04-19,769684
2020-04-20,799512
2020-04-21,825429
2020-04-22,854288
2020-04-23,887858
2020-04-24,920185
2020-04-25,950580
2020-04-26,977081
2020-04-27,1000784
2020-04-28,1025361
2020-04-29,1051799
2020-04-30,1081019
2020-05-01,1115945
2020-05-02,1143295
2020-05-03,1167592
2020-05-04,1191677
2020-05-05,1216208
2020-05-06,1240767
2020-05-07,1268179
2020-05-08,1295017
2020-05-09,1320153
2020-05-10,1339020
2020-05-11,1358291
2020-05-12,1381238
2020-05-13,1401646
2020-05-14,1428464
2020-05-15,1453211
2020-05-16,1477370
2020-05-17,1495733
2020-05-18,1518123
2020-05-19,1539130
2020-05-20,1561827
2020-05-21,1587593
2020-05-22,1611249
2020-05-23,1632361
2020-05-24,1652428
2020-05-25,1671100
2020-05-26,1690750
2020-05-27,1709299
2020-05-28,1731621
2020-05-29,1756093
2020-05-30,1779726
2020-05-31,1798713
2020-06-01,1816148
2020-06-02,1837651
2020-06-03,1857495
2020-06-04,1879144
2020-06-05,1904544
2020-06-06,1925704
2020-06-07,1943620
2020-06-08,1961257
2020-06-09,1979639
2020-06-10,2000749
2020-06-11,2023881
2020-06-12,2048746
2020-06-13,2073954
2020-06-14,2092902
2020-06-15,2112721
2020-06-16,2136391
2020-06-17,2163449
2020-06-18,2191971
2020-06-19,2223531
2020-06-20,2255800
2020-06-21,2280946
2020-06-22,2313093
2020-06-23,2350156
2020-06-24,2386014
2020-06-25,2426329
2020-06-26,2472311
2020-06-27,2513651
2020-06-28,2554376
2020-06-29,2595655
2020-06-30,2642081
2020-07-01,2693890
2020-07-02,2750517
2020-07-03,2801874
2020-07-04,2847553
2020-07-05,2898322
2020-07-06,2941394
2020-07-07,3002036
2020-07-08,3062146
2020-07-09,3124633
2020-07-10,3192672
2020-07-11,3252687
2020-07-12,3311137
2020-07-13,3370026
2020-07-14,3438038
2020-07-15,3506145
2020-07-16,3581954
2020-07-17,3654203
2020-07-18,3716740
2020-07-19,3777211
2020-07-20,3839293
2020-07-21,3903780
2020-07-22,3974341
2020-07-23,4042769
2020-07-24,4116070
2020-07-25,4180969
2020-07-26,4235816
2020-07-27,4292554
2020-07-28,4359003
2020-07-29,4430816
2020-07-30,4498234
2020-07-31,4566931
2020-08-01,4623105
2020-08-02,4668652
2020-08-03,4714173
2020-08-04,4772945
2020-08-05,4827393
2020-08-06,4886727
2020-08-07,4945996
2020-08-08,5000107
2020-08-09,5045855
2020-08-10,5093475
2020-08-11,5141430
2020-08-12,5197413
2020-08-13,5248690
2020-08-14,5314012
2020-08-15,5360914
2020-08-16,5400103
2020-08-17,5436757
2020-08-18,5481755
2020-08-19,5529102
2020-08-20,5572890
2020-08-21,5621596
2020-08-22,5664641
2020-08-23,5698902
2020-08-24,5735502
2020-08-25,5775618
2020-08-26,5820908
2020-08-27,5866093
2020-08-28,5913046
2020-08-29,5955722
2020-08-30,5990118
2020-08-31,6025593
2020-09-01,6067260
2020-09-02,6108200
2020-09-03,6152285
2020-09-04,6202700
2020-09-05,6245682
2020-09-06,6276981
2020-09-07,6300449
2020-09-08,6327884
2020-09-09,6361638
2020-09-10,6397758
2020-09-11,6445407
2020-09-12,6486484
2020-09-13,6520750
2020-09-14,6555127
2020-09-15,6594554
2020-09-16,6633389
2020-09-17,6678579
2020-09-18,6727725
2020-09-19,6769847
2020-09-20,6808147
2020-09-21,6860061
2020-09-22,6899723
2020-09-23,6938731
2020-09-24,6985760
2020-09-25,7033944
2020-09-26,7078562
2020-09-27,7116078
2020-09-28,7149281
2020-09-29,7192498
2020-09-30,7231832
2020-10-01,7277418
2020-10-02,7332238
2020-10-03,7380797
2020-10-04,7416539
2020-10-05,7455962
2020-10-06,7501009
2020-10-07,7551949
2020-10-08,7610451
2020-10-09,7666716
2020-10-10,7721622
2020-10-11,7767500
2020-10-12,7809362
2020-10-13,7861469
2020-10-14,7921089
2020-10-15,7985864
2020-10-16,8054907
2020-10-17,8111563
2020-10-18,8160870
2020-10-19,8228585
2020-10-20,8290408
2020-10-21,8353581
2020-10-22,8429792
2020-10-23,8511514
2020-10-24,8594218
2020-10-25,8656238
2020-10-26,8723553
2020-10-27,8800136
2020-10-28,8879326
2020-10-29,8970125
2020-10-30,9069103
2020-10-31,9158771
2020-11-01,9263564
2020-11-02,9348673
2020-11-03,9475593
2020-11-04,9579978
2020-11-05,9709076
2020-11-06,9836826
2020-11-07,9964034
2020-11-08,10079115
2020-11-09,10199575
2020-11-10,10339806
2020-11-11,10486184
2020-11-12,10650570
2020-11-13,10830756
2020-11-14,10998298
2020-11-15,11134448
2020-11-16,11296951
2020-11-17,11460388
2020-11-18,11633255
2020-11-19,11824408
2020-11-20,12022364
2020-11-21,12201487
2020-11-22,12348137
2020-11-23,12522119
2020-11-24,12697162
2020-11-25,12879847
2020-11-26,12991459
2020-11-27,13199466
2020-11-28,13354901
2020-11-29,13494948
2020-11-30,13655181
2020-12-01,13842693
2020-12-02,14044565
2020-12-03,14266847
2020-12-04,14498883
2020-12-05,14713624
2020-12-06,14894418
2020-12-07,15089009
2020-12-08,15312876
2020-12-09,15534536
2020-12-10,15765165
2020-12-11,16003837
2020-12-12,16220250
2020-12-13,16407679
2020-12-14,16600830
2020-12-15,16810019
2020-12-16,17055759
2020-12-17,17294836
2020-12-18,17545869
2020-12-19,17737484
2020-12-20,17925033
2020-12-21,18123641
2020-12-22,18320881
2020-12-23,18549642
2020-12-24,18742803
2020-12-25,18839532
2020-12-26,19066376
2020-12-27,19222064
2020-12-28,19396237
2020-12-29,19595117
2020-12-30,19827133
2020-12-31,20061049
2021-01-01,20213393
2021-01-02,20513675
2021-01-03,20722231
2021-01-04,20906021
2021-01-05,21139547
2021-01-06,21393464
2021-01-07,21670202
2021-01-08,21962246
2021-01-09,22224220
2021-01-10,22437501
2021-01-11,22651464
2021-01-12,22877702
2021-01-13,23107573
2021-01-14,23342548
2021-01-15,23583255
2021-01-16,23784019
2021-01-17,23961423
2021-01-18,24104028
2021-01-19,24281012
2021-01-20,24463591
2021-01-21,24656646
2021-01-22,24846678
2021-01-23,25016816
2021-01-24,25147891
2021-01-25,25298986
2021-01-26,25445583
2021-01-27,25598061
2021-01-28,25766681
2021-01-29,25932794
2021-01-30,26074885
2021-01-31,26186781
2021-02-01,26321120
2021-02-02,26435557
2021-02-03,26557026
2021-02-04,26680214
2021-02-05,26813772
2021-02-06,26917787
2021-02-07,27007368
2021-02-08,27097095
2021-02-09,27192455
2021-02-10,27287159
2021-02-11,27392512
2021-02-12,27492023
2021-02-13,27575344
2021-02-14,27640282
