,counts
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,2
2020-02-01,2
2020-02-02,2
2020-02-03,8
2020-02-04,8
2020-02-05,9
2020-02-06,9
2020-02-07,9
2020-02-08,13
2020-02-09,14
2020-02-10,14
2020-02-11,15
2020-02-12,16
2020-02-13,17
2020-02-14,18
2020-02-15,18
2020-02-16,18
2020-02-17,19
2020-02-18,19
2020-02-19,20
2020-02-20,22
2020-02-21,23
2020-02-22,23
2020-02-23,28
2020-02-24,30
2020-02-25,34
2020-02-26,37
2020-02-27,44
2020-02-28,56
2020-02-29,61
2020-03-01,94
2020-03-02,134
2020-03-03,189
2020-03-04,245
2020-03-05,294
2020-03-06,373
2020-03-07,428
2020-03-08,482
2020-03-09,629
2020-03-10,887
2020-03-11,1298
2020-03-12,1787
2020-03-13,2266
2020-03-14,2630
2020-03-15,3072
2020-03-16,3684
2020-03-17,4452
2020-03-18,5451
2020-03-19,6506
2020-03-20,7760
2020-03-21,8957
2020-03-22,10333
2020-03-23,12668
2020-03-24,15039
2020-03-25,17732
2020-03-26,20816
2020-03-27,24017
2020-03-28,26839
2020-03-29,29696
2020-03-30,33969
2020-03-31,38484
2020-04-01,43398
2020-04-02,48263
2020-04-03,53178
2020-04-04,57198
2020-04-05,60792
2020-04-06,66067
2020-04-07,71517
2020-04-08,76646
2020-04-09,81498
2020-04-10,85813
2020-04-11,89390
2020-04-12,92885
2020-04-13,97068
2020-04-14,101393
2020-04-15,106458
2020-04-16,111756
2020-04-17,116721
2020-04-18,121437
2020-04-19,125289
2020-04-20,130147
2020-04-21,134907
2020-04-22,140397
2020-04-23,145540
2020-04-24,150513
2020-04-25,154261
2020-04-26,157729
2020-04-27,162431
2020-04-28,167152
2020-04-29,172587
2020-04-30,177543
2020-05-01,182270
2020-05-02,185491
2020-05-03,188465
2020-05-04,191843
2020-05-05,195527
2020-05-06,199358
2020-05-07,203125
2020-05-08,206174
2020-05-09,208324
2020-05-10,210645
2020-05-11,214228
2020-05-12,217617
2020-05-13,220915
2020-05-14,223524
2020-05-15,226041
2020-05-16,228106
2020-05-17,229932
2020-05-18,232506
2020-05-19,235547
2020-05-20,238253
2020-05-21,240795
2020-05-22,242825
2020-05-23,244332
2020-05-24,245680
2020-05-25,247287
2020-05-26,248937
2020-05-27,250739
2020-05-28,252473
2020-05-29,253977
2020-05-30,255076
2020-05-31,256145
2020-06-01,257579
2020-06-02,259046
2020-06-03,260388
2020-06-04,261622
2020-06-05,262727
2020-06-06,263518
2020-06-07,264235
2020-06-08,265321
2020-06-09,266474
2020-06-10,267656
2020-06-11,268657
2020-06-12,269710
2020-06-13,270597
2020-06-14,271404
2020-06-15,272430
2020-06-16,273507
2020-06-17,274504
2020-06-18,275524
2020-06-19,276504
2020-06-20,277170
2020-06-21,277792
2020-06-22,278684
2020-06-23,279566
2020-06-24,280340
2020-06-25,281037
2020-06-26,281675
2020-06-27,282308
2020-06-28,282703
2020-06-29,283307
2020-06-30,283710
2020-07-01,283770
2020-07-02,283774
2020-07-03,284276
2020-07-04,284900
2020-07-05,285416
2020-07-06,285768
2020-07-07,286349
2020-07-08,286979
2020-07-09,287621
2020-07-10,288133
2020-07-11,288953
2020-07-12,289603
2020-07-13,290133
2020-07-14,291373
2020-07-15,291911
2020-07-16,292552
2020-07-17,293239
2020-07-18,294066
2020-07-19,294792
2020-07-20,295372
2020-07-21,295817
2020-07-22,296377
2020-07-23,297146
2020-07-24,297914
2020-07-25,298681
2020-07-26,299426
2020-07-27,300111
2020-07-28,300658
2020-07-29,301455
2020-07-30,302301
2020-07-31,303181
2020-08-01,303942
2020-08-02,304685
2020-08-03,305623
2020-08-04,306293
