Date,Raw data,Scaled data to 0-1,"Sigmoid stretched to 0-1, a=0.5",Tanh stretched to 0-1
2020-01-09,0.1985,0.0951,0.096134,0.111291
2020-01-10,0.1985,0.0951,0.096134,0.111291
2020-01-11,0.1985,0.0951,0.096134,0.111291
2020-01-12,0.1985,0.0951,0.096134,0.111291
2020-01-13,0.1985,0.0951,0.096134,0.111291
2020-01-14,0.1985,0.0951,0.096134,0.111291
2020-01-15,0.1458,0.0000,0.000000,0.000000
2020-01-16,0.1458,0.0000,0.000000,0.000000
2020-01-17,0.1458,0.0000,0.000000,0.000000
2020-01-18,0.1458,0.0000,0.000000,0.000000
2020-01-19,0.1649,0.0345,0.034839,0.040545
2020-01-20,0.1840,0.0689,0.069663,0.080838
2020-01-21,0.2031,0.1034,0.104473,0.120852
2020-01-22,0.2156,0.1260,0.127379,0.147029
2020-01-23,0.2282,0.1487,0.150278,0.173066
2020-01-24,0.2282,0.1487,0.150278,0.173066
2020-01-25,0.2397,0.1695,0.171237,0.196779
2020-01-26,0.2407,0.1714,0.173168,0.198958
2020-01-27,0.2407,0.1714,0.173168,0.198958
2020-01-28,0.2533,0.1941,0.196049,0.224696
2020-01-29,0.2646,0.2146,0.216786,0.247892
2020-01-30,0.2888,0.2583,0.260844,0.296749
2020-01-31,0.3256,0.3247,0.327699,0.369690
2020-02-01,0.3272,0.3277,0.330631,0.372854
2020-02-02,0.3256,0.3247,0.327699,0.369690
2020-02-03,0.3256,0.3247,0.327699,0.369690
2020-02-04,0.3256,0.3247,0.327699,0.369690
2020-02-05,0.2941,0.2678,0.270337,0.307195
2020-02-06,0.2941,0.2678,0.270337,0.307195
2020-02-07,0.2941,0.2678,0.270337,0.307195
2020-02-08,0.2941,0.2678,0.270337,0.307195
2020-02-09,0.3002,0.2788,0.281463,0.319403
2020-02-10,0.3063,0.2899,0.292587,0.331568
2020-02-11,0.3063,0.2899,0.292587,0.331568
2020-02-12,0.3205,0.3155,0.318442,0.359680
2020-02-13,0.3676,0.4007,0.404026,0.451049
2020-02-14,0.3676,0.4007,0.404026,0.451049
2020-02-15,0.3392,0.3494,0.352500,0.396358
2020-02-16,0.3263,0.3261,0.329018,0.371113
2020-02-17,0.3263,0.3261,0.329018,0.371113
2020-02-18,0.3392,0.3494,0.352500,0.396358
2020-02-19,0.3578,0.3829,0.386154,0.432191
2020-02-20,0.3578,0.3829,0.386154,0.432191
2020-02-21,0.3775,0.4186,0.421977,0.469867
2020-02-22,0.4106,0.4783,0.481908,0.531775
2020-02-23,0.4106,0.4783,0.481908,0.531775
2020-02-24,0.3968,0.4534,0.456949,0.506167
2020-02-25,0.3962,0.4524,0.455892,0.505078
2020-02-26,0.3968,0.4534,0.456949,0.506167
2020-02-27,0.3968,0.4534,0.456949,0.506167
2020-02-28,0.3962,0.4524,0.455892,0.505078
2020-02-29,0.3900,0.4411,0.444612,0.493417
2020-03-01,0.3900,0.4411,0.444612,0.493417
2020-03-02,0.3900,0.4411,0.444612,0.493417
2020-03-03,0.4442,0.5390,0.542646,0.593016
2020-03-04,0.4629,0.5728,0.576509,0.626477
2020-03-05,0.4629,0.5728,0.576509,0.626477
2020-03-06,0.4629,0.5728,0.576509,0.626477
2020-03-07,0.4629,0.5728,0.576509,0.626477
2020-03-08,0.4629,0.5728,0.576509,0.626477
2020-03-09,0.5360,0.7048,0.708085,0.751630
2020-03-10,0.5229,0.6812,0.684608,0.729880
2020-03-11,0.5015,0.6425,0.646031,0.693587
2020-03-12,0.5229,0.6812,0.684608,0.729880
2020-03-13,0.5360,0.7048,0.708085,0.751630
2020-03-14,0.5479,0.7264,0.729540,0.771282
2020-03-15,0.5440,0.7194,0.722611,0.764959
2020-03-16,0.5479,0.7264,0.729540,0.771282
2020-03-17,0.5523,0.7342,0.737367,0.778396
2020-03-18,0.5641,0.7557,0.758699,0.797641
2020-03-19,0.5575,0.7437,0.746785,0.786919
2020-03-20,0.5558,0.7406,0.743726,0.784156
2020-03-21,0.5575,0.7437,0.746785,0.786919
2020-03-22,0.5575,0.7437,0.746785,0.786919
2020-03-23,0.5638,0.7551,0.758041,0.797051
2020-03-24,0.5598,0.7479,0.750962,0.790686
2020-03-25,0.5575,0.7437,0.746785,0.786919
2020-03-26,0.5598,0.7479,0.750962,0.790686
2020-03-27,0.5638,0.7551,0.758041,0.797051
